대학명,학과명,국어,수학,영어,탐구
건국대학교,인문,0.30,0.35,0.10,0.25
건국대학교,자연,0.25,0.35,0.10,0.30
고려대학교,인문,0.33,0.357,0.0,0.286
고려대학교,자연,0.313,0.375,0.0,0.313
경희대학교,인문,0.25,0.35,0.15,0.30
경희대학교,자연,0.20,0.35,0.15,0.30
전체,전체,0.3,0.3,0.2,0.2
